,Nodes,Edges,Density,Avg_Clustering,Avg_Connectivity,Components,Exponent_Centrality,Exponent_Weight,Diameter,Radius,Avg_Shortest_Path,Frac_LCC
1964,575,5949,0.036049083472201184,0.8031147220548526,20.69217391304348,4,2.0739307088975014,2.6356277818842226,10,6,4.7201815093669985,0.8469565217391304
1965,570,5923,0.036524527487435635,0.8018080515937267,20.782456140350888,7,2.015246697036445,2.610533327919699,9,5,4.0187578311181,0.7087719298245614
1966,574,6052,0.03680123562641759,0.7994520873091264,21.08710801393727,3,2.047955675888038,2.5741920945250056,9,5,4.232952211675616,0.9024390243902439
1967,598,6513,0.03648678173476076,0.788489889075172,21.782608695652172,2,2.0221855678551512,2.496603051471669,10,5,4.303087842197438,0.9548494983277592
1968,556,5828,0.037773024823384536,0.8232541254335864,20.964028776978395,8,2.0405045493744622,2.703099775764844,11,6,4.304585362447854,0.6097122302158273
1969,690,7543,0.03173260974737595,0.79666731060947,21.86376811594205,3,2.0075968797796153,2.548625026489836,9,5,4.3491045480513675,0.9202898550724637
1970,681,7163,0.030936339293426623,0.8054267551986257,21.03671071953014,5,2.042351028410765,2.4913818279447693,11,6,5.054370548515401,0.8370044052863436
1971,691,7325,0.03072631556869901,0.8171316619266822,21.20115774240231,9,2.026426766948534,2.681764341544614,10,5,4.591814979606971,0.6729377713458755
1972,680,7158,0.031005804383609115,0.8108882685401956,21.05294117647052,3,2.0429980573322792,2.676206922724859,13,7,5.7092695918098695,0.925
1973,581,5713,0.03390705679862306,0.8332144404769181,19.666092943201324,6,2.1120418615430365,2.313335617921915,10,5,4.6803167674536965,0.8296041308089501
1974,592,5846,0.03341793570219966,0.8309977986929241,19.750000000000004,5,2.1169799210609543,2.275034269337075,12,6,5.034173979722246,0.8192567567567568
1975,592,5949,0.03400672245849911,0.8335302643397252,20.097972972972965,5,2.0967249861525454,2.4920933918355614,12,7,4.984584306128194,0.831081081081081
1976,593,6089,0.03468962216854291,0.8168228771074878,20.536256323777405,5,2.062672237363512,2.4025587410302824,11,6,4.72133431085044,0.836424957841484
1977,629,6202,0.03140157767358966,0.8317692468580582,19.72019077901431,5,2.103589887008411,2.2724624406304317,12,6,4.6446054450294305,0.8076311605723371
1978,622,6067,0.03141391076523189,0.8431989770172816,19.50803858520895,6,2.121996922239422,2.4073697826550484,14,7,5.212489016268242,0.7942122186495176
1979,602,5796,0.03203962388267616,0.8393781180810456,19.25581395348849,7,2.12482222505996,2.265812243375567,9,5,4.541527642318156,0.8039867109634552
1980,644,6175,0.029824290254339615,0.8514524858810707,19.177018633540442,9,2.1310845962841625,2.2328727550478837,12,6,5.797460526858226,0.593167701863354
1981,605,5502,0.03011329429150019,0.8495061503871463,18.188429752066032,13,2.206831725402039,2.27658869939692,9,5,3.971631205673759,0.3884297520661157
1982,639,6226,0.03054341373913982,0.8408221431020616,19.48669796557117,9,2.1275218669233116,2.3150016230006036,10,5,4.441518459150701,0.621283255086072
1983,650,6388,0.030285646556832996,0.843451400511345,19.655384615384627,10,2.1029369735086703,2.329068783634393,15,8,6.066500235174934,0.5123076923076924
1984,646,6454,0.030978952168382652,0.8450730605902287,19.981424148606838,9,2.0907870569603197,2.318435553133744,9,5,4.089320388349514,0.47987616099071206
1985,621,6149,0.03194119785985144,0.8465498376866804,19.803542673107874,8,2.095465074876123,2.195982449519933,13,7,5.001420803141267,0.6344605475040258
1986,650,6492,0.030778712812611117,0.8404381687772897,19.975384615384648,10,2.084801204703389,3.15136535991605,11,6,4.302590434811231,0.38
